StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q0_Consent,GenViciousEval,LSViciousEval,SEAVicious,GenVirtuousEval,LSVirtuousEval,SEAVirtuousEval,GenRecklessEval,LSRecklessEval,SEARecklessEval,GenCourageousEval,LSCourageousEval,SEACourageousEval,GenSelfishEval,LSSelfishEval,SEASelfishEval,GenGenerousEval,LSGenerousEval,SEAGenerousEval,GenCruelEval,LSCruelEval,SEACruelEval,GenCompassionateEval,LSCompassionateEval,SEACompassionateEval,GenRudeEval,LSRudeEval,SEARudeEval,GenFriendlyEval,LSFriendlyEval,SEAFriendlyEval,GenManipulativeEval,LSManipulativeEval,SEAManipulativeEval,GenHonestEval,LSHonestEval,SEAHonestEval,M_GenViciousEval,M_LSViciousEval,M_SEAViciousEval,M_GenVirtuousEval,M_LSVirtuousEval,M_SEAVirtuousEval,M_GenRecklessEval,M_LSRecklessEval,M_SEARecklessEval,M_GenCourageousEval,M_LSCourageousEval,M_SEACourageousEval,M_GenSelfishEval,M_LSSelfishEval,M_SEASelfishEval,M_GenGenerousEval,M_LSGenerousEval,M_SEAGenerousEval,M_GenCruelEval,M_LSCruelEval,M_SEACruelEval,M_GenCompassionateEv,M_LSCompassionateEva,M_SEACompassionateEv,M_GenRudeEval,M_LSRudeEval,M_SEARudeEval,M_GenFriendlyEval,M_LSFriendlyEval,M_SEAFriendlyEval,M_GenManipulativeEva,M_LSManipulativeEval,M_SEAManipulativeEva,M_GenHonestEval,M_LSHonestEval,M_SEAHonestEval,QuantSliderEval_1,M_QuantSliderEval_1,CharacterSpeakerEval,NaturallyGoodBadEval,Q44,Q45,Q46
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,"Research Informed Consent
 
 

  

 Purpose:

 We are conducting a research study to examine people’s ordinary intuitions about how they use words in their everyday life.

  

 Procedures:

 Participation in this study will involve filling out a brief questionnaire.  We anticipate that your involvement will require around 2 to 3 minutes.  You must be at least 18 years old to participate. 

  

 Risks and Benefits:
This research will not benefit you directly, but we
 hope that our results will add to scientific knowledge about people’s 
ordinary intuitions about morality. 

  

 Confidentiality:

 All of your responses will be anonymous.  

  

 Voluntary Participation:

 Participation in this study is completely voluntary.  You
 are free to decline to participate, to end participation at any time 
for any reason.

  

 Questions:

 If you have any questions about this study, you may contact the 
investigator, Pascale Willemsen, by sending an email to pascale.willemsen@philos.uzh.ch
  

  

  

  Do you voluntarily consent to participate in this study?",Does Sally contradict herself?,Does Sally contradict herself?,Does Sally contradict herself?,Does Sally contradict herself?,Does Sally contradict herself?,Does Sally contradict herself?,Does Sally contradict herself?,Does Sally contradict herself?,Does Sally contradict herself?,Does Sally contradict herself?,Does Sally contradict herself?,Does Sally contradict herself?,Does Sally contradict herself?,Does Sally contradict herself?,Does Sally contradict herself?,Does Sally contradict herself?,Does Sally contradict herself?,Does Sally contradict herself?,Does Sally contradict herself?,Does Sally contradict herself?,Does Sally contradict herself?,Does Sally contradict herself?,Does Sally contradict herself?,Does Sally contradict herself?,Does Sally contradict herself?,Does Sally contradict herself?,Does Sally contradict herself?,Does Sally contradict herself?,Does Sally contradict herself?,Does Sally contradict herself?,Does Sally contradict herself?,Does Sally contradict herself?,Does Sally contradict herself?,Does Sally contradict herself?,Does Sally contradict herself?,Does Sally contradict herself?,Does Tom contradict himself?,Does Tom contradict himself?,Does Tom contradict himself?,Does Tom contradict himself?,Does Tom contradict himself?,Does Tom contradict himself?,Does Tom contradict himself?,Does Tom contradict himself?,Does Tom contradict himself?,Does Tom contradict himself?,Does Tom contradict himself?,Does Tom contradict himself?,Does Tom contradict himself?,Does Tom contradict himself?,Does Tom contradict himself?,Does Tom contradict himself?,Does Tom contradict himself?,Does Tom contradict himself?,Does Tom contradict himself?,Does Tom contradict himself?,Does Tom contradict himself?,Does Tom contradict himself?,Does Tom contradict himself?,Does Tom contradict himself?,Does Tom contradict himself?,Does Tom contradict himself?,Does Tom contradict himself?,Does Tom contradict himself?,Does Tom contradict himself?,Does Tom contradict himself?,Does Tom contradict himself?,Does Tom contradict himself?,Does Tom contradict himself?,Does Tom contradict himself?,Does Tom contradict himself?,Does Tom contradict himself?,What proportion of people did you think of when evaluating Sally's statement? Please give an approximative answer using the slider below (from 0 to 100%).,What proportion of people did you think of when evaluating Tom's statement? Please give an approximative answer using the slider below (from 0 to 100%).,"Based on the statement you just read, which description of the speaker is most plausible:","Generally speaking, which of the following options reflects your opinion most adequately?",Please tell us with which gender you identify.,What is your native language?,How old are you?
"{""ImportId"":""startDate"",""timeZone"":""Europe/Berlin""}","{""ImportId"":""endDate"",""timeZone"":""Europe/Berlin""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""Europe/Berlin""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID1""}","{""ImportId"":""QID717""}","{""ImportId"":""QID711""}","{""ImportId"":""QID713""}","{""ImportId"":""QID715""}","{""ImportId"":""QID719""}","{""ImportId"":""QID721""}","{""ImportId"":""QID723""}","{""ImportId"":""QID725""}","{""ImportId"":""QID727""}","{""ImportId"":""QID729""}","{""ImportId"":""QID731""}","{""ImportId"":""QID733""}","{""ImportId"":""QID735""}","{""ImportId"":""QID737""}","{""ImportId"":""QID739""}","{""ImportId"":""QID741""}","{""ImportId"":""QID743""}","{""ImportId"":""QID745""}","{""ImportId"":""QID747""}","{""ImportId"":""QID749""}","{""ImportId"":""QID751""}","{""ImportId"":""QID753""}","{""ImportId"":""QID755""}","{""ImportId"":""QID757""}","{""ImportId"":""QID759""}","{""ImportId"":""QID761""}","{""ImportId"":""QID763""}","{""ImportId"":""QID765""}","{""ImportId"":""QID767""}","{""ImportId"":""QID769""}","{""ImportId"":""QID771""}","{""ImportId"":""QID773""}","{""ImportId"":""QID775""}","{""ImportId"":""QID777""}","{""ImportId"":""QID779""}","{""ImportId"":""QID781""}","{""ImportId"":""QID789""}","{""ImportId"":""QID791""}","{""ImportId"":""QID793""}","{""ImportId"":""QID795""}","{""ImportId"":""QID797""}","{""ImportId"":""QID799""}","{""ImportId"":""QID801""}","{""ImportId"":""QID803""}","{""ImportId"":""QID805""}","{""ImportId"":""QID807""}","{""ImportId"":""QID809""}","{""ImportId"":""QID811""}","{""ImportId"":""QID813""}","{""ImportId"":""QID815""}","{""ImportId"":""QID817""}","{""ImportId"":""QID819""}","{""ImportId"":""QID821""}","{""ImportId"":""QID823""}","{""ImportId"":""QID825""}","{""ImportId"":""QID827""}","{""ImportId"":""QID829""}","{""ImportId"":""QID831""}","{""ImportId"":""QID833""}","{""ImportId"":""QID835""}","{""ImportId"":""QID837""}","{""ImportId"":""QID839""}","{""ImportId"":""QID841""}","{""ImportId"":""QID843""}","{""ImportId"":""QID845""}","{""ImportId"":""QID847""}","{""ImportId"":""QID849""}","{""ImportId"":""QID851""}","{""ImportId"":""QID853""}","{""ImportId"":""QID855""}","{""ImportId"":""QID857""}","{""ImportId"":""QID859""}","{""ImportId"":""QID787_1""}","{""ImportId"":""QID862_1""}","{""ImportId"":""QID861""}","{""ImportId"":""QID784""}","{""ImportId"":""QID224""}","{""ImportId"":""QID225_TEXT""}","{""ImportId"":""QID226_TEXT""}"
2020-04-21 14:29:37,2020-04-21 14:39:01,1,,100,563,1,2020-04-21 14:39:02,R_3M5Ja7dTtZ79SmC,,,,,47.36639404296875,8.554595947265625,preview,EN,1,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,german,27
2020-04-21 14:39:10,2020-04-21 14:40:01,1,,100,51,1,2020-04-21 14:40:02,R_2e40lkbamaH9h1S,,,,,47.36639404296875,8.554595947265625,preview,EN,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,2,2
2020-04-24 16:02:09,2020-04-24 16:02:33,0,108.65.124.61,100,23,1,2020-04-24 16:02:33,R_2E434shVBdWCWE7,,,,,28.45379638671875,-81.46739959716796875,anonymous,EN,1,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,2,English,24
2020-04-24 16:02:18,2020-04-24 16:02:57,0,73.86.248.124,100,39,1,2020-04-24 16:02:58,R_XNeJMBW0pFIHzi1,,,,,38.95379638671875,-76.8946990966796875,anonymous,EN,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,2,1,1,English,24
2020-04-24 16:02:17,2020-04-24 16:03:03,0,184.98.41.116,100,45,1,2020-04-24 16:03:03,R_3HFkK3AbJR5HtjG,,,,,33.49169921875,-111.98370361328125,anonymous,EN,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,1,English,37
2020-04-24 16:02:25,2020-04-24 16:03:05,0,47.217.132.216,100,40,1,2020-04-24 16:03:05,R_djqZxZYspAZxqLv,,,,,35.7445068359375,-95.34510040283203125,anonymous,EN,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,2,1,2,English,26
2020-04-24 16:02:14,2020-04-24 16:03:11,0,173.72.173.242,100,57,1,2020-04-24 16:03:11,R_3Di1fWWs49J3wIZ,,,,,38.27099609375,-77.54949951171875,anonymous,EN,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,53,3,1,1,English,25
2020-04-24 16:02:24,2020-04-24 16:03:13,0,162.232.176.154,100,49,1,2020-04-24 16:03:14,R_x9DG4je2X3Qu1jz,,,,,41.3957061767578125,-81.81569671630859375,anonymous,EN,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,1,English,34
